fe_num,fe_1,fe_100,fe_104,fe_105,fe_106,fe_107,fe_113,fe_116,fe_120,fe_123,fe_13,fe_14,fe_16,fe_17,fe_18,fe_2,fe_20,fe_21,fe_22,fe_23,fe_24,fe_28,fe_32,fe_33,fe_34,fe_38,fe_39,fe_4,fe_47,fe_48,fe_5,fe_52,fe_54,fe_6,fe_60,fe_74,fe_81,fe_83,fe_85,fe_86,fe_87,fe_88,fe_89,fe_9,fe_90,fe_91,fe_99
EX,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
IN,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0
